Genome Name / Sample Name	Strain	IMG Genome ID
Rhizobium sp. PDO1-076	PDO1-076	2510461069
Rhizobium sp. YR060	YR060	2582581307
Rhizobium sp. YR295	YR295	2582581306
Rhizobium sp. YR519	YR519	2582581304
Rhizobium sp. YR528	YR528	2585427594
Rhizobium tropici CF286	CF286	2585427593
Rhizobium tropici YR530	YR530	2585427531
Rhizobium tropici YR635	YR635	2585427530
Rhizobiumrhizogenes YR147	YR147	2582581315
Rhodanobacter sp. OK091	OK091	2690315657
Rhodococcus sp. OK269	OK269	2738543034
Rhodococcus sp. OK270	OK270	2737472030
Rhodococcus sp. OK302	OK302	2713897328
Rhodococcus sp. OK519	OK519	2738543005
Rhodococcus sp. OK551	OK551	2738541308
Rhodococcus sp. OK611	OK611	2738543011
Rhodoferax sp. YR267	YR267	2757320531
Roseateles sp. YR242	YR242	2615840637
Sphingobium sp. AP49	AP49	2512564014
Sphingobium sp. AP50	AP50	2687453790
Sphingobium sp. YR657	YR657	2687453679
Sphingobium sp. YR768	YR768	2687453792
Sphingomonas sp. BK036	BK036	2799112244
Sphingomonas sp. BK235	BK235	2795386133
Sphingomonas sp. CF311	CF311	2758568039
Sphingomonas sp. OK281	OK281	2690315632
Sphingomonas sp. OV641	OV641	2684623004
Sphingomonas sp. YR710	YR710	2687453684
Sphingomonas wittichii YR128	YR128	2582581305
Sphingopyxis sp. YR583	YR583	2687453811
Stenotrophomonas sp. BK441	BK441	2799112234
Stenotrophomonas sp. CF319	CF319	2758568591
Stenotrophomonas sp. YR243	YR243	2617270730
Stenotrophomonas sp. YR347	YR347	2693429819
Stenotrophomonas sp. YR399	YR399	2695420952
Streptomyces atratus OK008	OK008	2582581312
Streptomyces atratus OK807	OK807	2616644941
Streptomyces mirabilis OK461	OK461	2616644814
Streptomyces mirabilis OV308	OV308	2582581313
Streptomyces mirabilis YR139	YR139	2582581314
Streptomyces sp. BK022	BK022	2799112265
Streptomyces sp. BK038	BK038	2795386112
Streptomyces sp. BK042	BK042	2795386124
Streptomyces sp. BK141	BK141	2795386108
Streptomyces sp. BK161	BK161	2795386114
Streptomyces sp. BK205	BK205	2795386106
Streptomyces sp. BK208	BK208	2795386122
Streptomyces sp. BK215	BK215	2802428825
Streptomyces sp. BK239	BK239	2799112261
Streptomyces sp. BK308	BK308	2795386111
Streptomyces sp. BK329	BK329	2795386109
Streptomyces sp. BK335	BK335	2795386107
Streptomyces sp. BK340	BK340	2795386105
Streptomyces sp. BK387	BK387	2795386134
Streptomyces sp. BK438	BK438	2795386135
Streptomyces sp. BK447	BK447	2795386113
